,sn,Unnamed: 0,hindi,english
160,160,160,की 8206,Of 8206
161,161,161,क्या 7557,What 7557
162,162,162,कि 7460,That 7460
163,163,163,तुम 7330,You 7330
164,164,164,हो 6893,Ho 6893
165,165,165,कर 6867,Tax 6867
166,166,166,मुझे 6307,Me 6307
167,167,167,को 6224,6224
168,168,168,हम 5726,We 5726
169,169,169,था 5637,Was 5637
170,170,170,वह 5361,That 5361
171,171,171,पर 5051,5051 on
172,172,172,हूँ 4753,I am 4753
173,173,173,रहे 4388,Stay 4388
174,174,174,भी 4263,Also 4263
175,175,175,रहा 4137,Stayed 4137
176,176,176,का 4024,4024 of
177,177,177,अपने 3859,Your 3859
178,178,178,कुछ 3504,Some 3504
179,179,179,तो 3445,So 3445
180,180,180,गया 3281,Gaya 3281
181,181,181,इस 3237,This 3237
182,182,182,मेरे 3182,My 3182
183,183,183,ठीक 3170,Ok 3170
184,184,184,करने 3084,To do 3084
185,185,185,किया 2891,Did 2891
186,186,186,साथ 2804,With 2804
187,187,187,उसे 2691,Her 2691
188,188,188,हाँ 2493,Yes 2493
189,189,189,वे 2484,They 2484
190,190,190,सकते 2442,Can 2442
191,191,191,लेकिन 2438,But 2438
192,192,192,यहाँ 2419,2419 here
193,193,193,तुम्हें 2383,You 2383
194,194,194,कोई 2304,No 2304
195,195,195,तरह 2293,Like 2293
196,196,196,अब 2290,Now 2290
197,197,197,पता 2238,Address 2238
198,198,198,होगा 2182,Will be 2182
199,199,199,बहुत 2064,Very 2064
200,200,200,बात 2047,Talk 2047
201,201,201,सकता 2041,Can 2041
202,202,202,जाओ 1987,Go 1987
203,203,203,ही 1929,Hee 1929
204,204,204,दिया 1910,Diya 1910
205,205,205,करना 1891,Do 1891
206,206,206,जा 1763,Ja 1763
207,207,207,मेरी 1689,My 1689
208,208,208,सब 1684,All 1684
209,209,209,बारे 1660,About 1660
210,210,210,लगता 1645,Looks 1645
211,211,211,कहा 1636,Said 1636
212,212,212,जो 1563,Which 1563
213,213,213,वहाँ 1526,1526 there
214,214,214,जब 1516,When 1516
215,215,215,इसे 1508,It 1508
216,216,216,अच्छा 1471,Good 1471
217,217,217,चाहिए 1463,Should 1463
218,218,218,बाहर 1448,Out 1448
219,219,219,करो 1400,Do 1400
220,220,220,क्यों 1387,Why 1387
221,221,221,अपनी 1362,Your 1362
222,222,222,थे 1358,Were 1358
223,223,223,चलो 1353,Come on 1353
224,224,224,दो 1353,Two 1353
225,225,225,ले 1351,Le 1351
226,226,226,किसी 1330,A 1330
227,227,227,फिर 1312,Then 1312
228,228,228,काम 1311,Work 1311
229,229,229,अगर 1296,If 1296
230,230,230,ये 1294,These 1294
231,231,231,कैसे 1281,How 1281
232,232,232,करते 1277,Do 1277
233,233,233,पहले 1265,First 1265
234,234,234,बस 1263,Just 1263
235,235,235,चाहते 1254,Want 1254
236,236,236,जाएगा 1241,Will go 1241
237,237,237,आदमी 1238,Man 1238
238,238,238,कभी 1237,Ever 1237
239,239,239,समय 1226,Time 1226
240,240,240,वापस 1219,Back 1219
241,241,241,हमें 1211,Let us 1211
242,242,242,रही 1206,Ray 1206
243,243,243,आ 1197,Come 1197
244,244,244,तक 1161,Up to 1161
245,245,245,हमारे 1104,Our 1104
246,246,246,मेरा 1092,My 1092
247,247,247,रूप 1077,Roop 1077
248,248,248,मैंने 1071,I 1071
249,249,249,करता 1052,Does 1052
250,250,250,या 1048,Or 1048
251,251,251,अभी 1039,Now 1039
252,252,252,मिल 1025,Mill 1025
253,253,253,चाहता 1016,Wants 1016
254,254,254,घर 1013,Home 1013
255,255,255,उसके 1009,His 1009
256,256,256,सभी 1006,All 1006
257,257,257,उस 989,That 989
258,258,258,मत 972,Do not 972
259,259,259,आपको 963,You can give you 963
260,260,260,जाना 958,Go 958
261,261,261,अरे 950,Hey 950
262,262,262,सिर्फ 941,Just 941
263,263,263,बंद 920,Closed 920
264,264,264,ओह 916,Oh 916
265,265,265,उन्हें 909,They 909
266,266,266,सही 904,Right 904
267,267,267,हूं 904,Hoon 904
268,268,268,थी 903,Thi 903
269,269,269,देखो 903,Look 903
270,270,270,ने 892,892
271,271,271,तुम्हारे 856,Your 856
272,272,272,प्यार 837,Love 837
273,273,273,वो 833,That 833
274,274,274,जरूरत 833,Need 833
275,275,275,लोगों 833,People 833
276,276,276,हुआ 827,Happened 827
277,277,277,करें 822,Do 822
278,278,278,ऐसा 793,Such 793
279,279,279,उन्होंने 789,He 789
280,280,280,दिन 789,Day 789
281,281,281,न 783,No 783
282,282,282,बाद 780,After 780
283,283,283,कौन 768,Who 768
284,284,284,हर 766,Every 766
285,285,285,पास 760,Pass 760
286,286,286,दे 749,Give 749
287,287,287,नीचे 730,Below 730
288,288,288,देखा 725,Saw 725
289,289,289,जाता 718,Goes 718
290,290,290,बार 717,Bar 717
291,291,291,कृपया 708,Please 708
292,292,292,धन्यवाद 704,Thanks 704
293,293,293,पिता 701,Father 701
294,294,294,करेंगे 701,Will do 701
295,295,295,भगवान 700,God 700
296,296,296,क्योंकि 679,Because 679
297,297,297,लोग 678,People 678
298,298,298,वाला 675,Wala 675
299,299,299,जानते 675,Know 675
300,300,300,देख 657,See 657
301,301,301,छोड़ 652,Leave 652
302,302,302,आज 651,Today 651
303,303,303,मतलब 651,Meaning 651
304,304,304,कहाँ 649,Where 649
305,305,305,जीवन 648,Life 648
306,306,306,आओ 647,Come 647
307,307,307,जाने 645,Know 645
308,308,308,अधिक 644,More 644
309,309,309,यही 627,This is 627
310,310,310,होता 622,Happiness 622
311,311,311,सर 619,Sir 619
312,312,312,मदद 607,Help 607
313,313,313,रात 598,Night 598
314,314,314,माँ 593,Mother 593
315,315,315,लिया 589,Lee 589
316,316,316,केवल 586,Only 586
317,317,317,तुमने 586,You 586
318,318,318,सबसे 577,577
319,319,319,नाम 577,Name 577
320,320,320,मार 576,Kill 576
321,321,321,हुए 571,571
322,322,322,हमेशा 570,Always 570
323,323,323,याद 568,Remember 568
324,324,324,कारण 566,Reason 566
325,325,325,गए 564,Gone 564
326,326,326,आया 558,Come 558
327,327,327,जानता 554,Know 554
328,328,328,शायद 554,Maybe 554
329,329,329,साल 553,Year 553
330,330,330,दूर 551,Away 551
331,331,331,हे 548,Hey 548
332,332,332,होने 545,Having 545
333,333,333,फोन 540,Phone 540
334,334,334,भाई 537,Brother 537
335,335,335,वास्तव 535,Actually 535
336,336,336,शुरू 530,Start 530
337,337,337,उसकी 522,His 522
338,338,338,मिला 522,Found 522
339,339,339,जगह 521,Place 521
340,340,340,कोशिश 520,Try 520
341,341,341,कम 519,Less 519
342,342,342,सच 511,Truth 511
343,343,343,लग 507,Lag 507
344,344,344,शादी 504,Marriage 504
345,345,345,पसंद 503,Like 503
346,346,346,चला 501,Launched 501
347,347,347,इन 499,In 499
348,348,348,अच्छी 492,Good 492
349,349,349,तुम्हारी 491,Your 491
350,350,350,यहां 487,487 here
351,351,351,दोस्त 479,Friend 479
352,352,352,मर 475,Die 475
353,353,353,कहते 475,Say 475
354,354,354,होना 473,Be 473
355,355,355,दुनिया 460,World 460
356,356,356,तुम्हारा 459,Your 459
357,357,357,एम 457,M457
358,358,358,कह 456,Say 456
359,359,359,इसके 451,Its 451
360,360,360,रुको 449,Wait 449
361,361,361,तैयार 440,Ready 440
362,362,362,बच्चे 436,Children 436
363,363,363,उन 436,Those 436
364,364,364,लो 435,Take 435
365,365,365,उनके 431,His 431
366,366,366,जैसे 419,Like 419
367,367,367,इतना 410,So 410
368,368,368,जल्दी 408,Early 408
369,369,369,अंदर 401,Inside 401
370,370,370,श्री 397,Mr. 397
371,371,371,यदि 397,If 397
372,372,372,पिताजी 394,Dad 394
373,373,373,कल 392,Tomorrow 392
374,374,374,ऊपर 391,Above 391
375,375,375,देंगे 390,Will give 390
376,376,376,आपके 387,Your 387
377,377,377,हमारी 386,Our 386
378,378,378,बताओ 386,Tell 386
379,379,379,खुद 384,384 himself
380,380,380,गई 383,Gone 383
381,381,381,अपना 381,Apna 381
382,382,382,खैर 376,Well 376
383,383,383,उसने 368,He 368
384,384,384,वाले 368,368
385,385,385,चलते 363,Going 363
386,386,386,रहो 359,Stay 359
387,387,387,दी 357,Di 357
388,388,388,मिलता 357,Get 357
389,389,389,बेहतर 357,Better 357
390,390,390,कार 355,Car 355
391,391,391,बकवास 353,Fuck 353
392,392,392,पीछे 351,Back 351
393,393,393,द्वारा 346,346 by
394,394,394,मुझसे 345,345 from me
395,395,395,हाथ 345,Hand 345
396,396,396,विश्वास 344,Faith 344
397,397,397,पूरी 343,Complete 343
398,398,398,ना 340,Na 340
399,399,399,महिला 337,Woman 337
400,400,400,लड़की 336,Girl 336
401,401,401,आपका 334,Your 334
402,402,402,देखने 334,View 334
403,403,403,तुमसे 332,332 from you
404,404,404,लगा 331,Found 331
405,405,405,उसका 330,His 330
406,406,406,चल 324,Chal 324
407,407,407,ओर 324,And 324
408,408,408,मिनट 322,Minute 322
409,409,409,समझ 320,Understand 320
410,410,410,बिना 315,315 without 315
411,411,411,बता 314,Tell 314
412,412,412,तीन 312,Three 312
413,413,413,सुनो 312,Listen 312
414,414,414,पैसे 307,Money 307
415,415,415,होगी 307,Will be 307
416,416,416,दोनों 306,Both 306
417,417,417,कहना 303,Say 303
418,418,418,पुलिस 301,Police 301
419,419,419,देना 301,Giving 301
420,420,420,पुरुष 300,Male 300
421,421,421,कहीं 297,297 somewhere
422,422,422,बना 294,Made 294
423,423,423,परिवार 294,Family 294
424,424,424,खो 291,Lost 291
425,425,425,दिल 289,Heart 289
426,426,426,हां 289,Yes 289
427,427,427,लेने 288,Take 288
428,428,428,बेटा 286,Son 286
429,429,429,सोचा 284,Thought 284
430,430,430,आगे 282,282 ahead
431,431,431,जहां 281,Where 281
432,432,432,पागल 277,Crazy 277
433,433,433,सुना 276,Heard 276
434,434,434,जाते 275,Go to 275
435,435,435,चले 274,Let's go 274
436,436,436,बोल 272,Speak 272
437,437,437,गलत 272,Wrong 272
438,438,438,ज्यादा 272,More 272
439,439,439,महसूस 271,Feel 271
440,440,440,चाहती 270,Want 270
441,441,441,सकती 269,Can 269
442,442,442,यकीन 266,Believe 266
443,443,443,इसलिए 265,Hence 265
444,444,444,पी 264,P 264
445,445,445,डर 263,Fear 263
446,446,446,आता 263,Come 263
447,447,447,आपकी 262,Your 262
448,448,448,लड़का 261,Boy 261
449,449,449,उह 260,Uh 260
450,450,450,समस्या 259,Problem 259
451,451,451,बुरा 257,Bad 257
452,452,452,सुंदर 255,Beautiful 255
453,453,453,छोटे 254,Small 254
454,454,454,बताया 254,Told 254
455,455,455,खत्म 254,Finished 254
456,456,456,आने 251,Come 251
457,457,457,माफ 250,Sorry 250
458,458,458,कमबख्त 249,Fucking 249
459,459,459,यार 249,Dude 249
460,460,460,बीच 248,Beach 248
461,461,461,दूसरे 248,Second 248
462,462,462,काफी 247,Quite 247
463,463,463,भूल 247,Forget 247
464,464,464,ध्यान 246,Meditation 246
465,465,465,हुई 245,Hui 245
466,466,466,तब 244,Then 244
467,467,467,बेटी 244,Daughter 244
468,468,468,रहने 242,Stay 242
469,469,469,खेल 242,Game 242
470,470,470,बड़ा 242,Big 242
471,471,471,माफी 240,Sorry 240
472,472,472,बच्चों 240,Children 240
473,473,473,शहर 237,City 237
474,474,474,आह 236,Ah 236
475,475,475,पूरा 234,Full 234
476,476,476,बदल 233,Change 233
477,477,477,देने 233,Giving 233
478,478,478,देखते 231,Look 231
479,479,479,देर 230,Late 230
480,480,480,डाल 230,Put 230
481,481,481,बिल्कुल 230,Absolutely 230
482,482,482,कई 230,Many 230
483,483,483,वाह 229,Wow 229
484,484,484,सोच 229,Think 229
485,485,485,भुगतान 228,Payment 228
486,486,486,जैक 227,Jack 227
487,487,487,बेटे 226,Son 226
488,488,488,मुझ 224,My 224
489,489,489,पानी 223,Water 223
490,490,490,महोदय 222,Sir 222
491,491,491,आग 219,Fire 219
492,492,492,देता 218,Give 218
493,493,493,आते 215,Come 215
494,494,494,कहां 215,Where 215
495,495,495,चिंता 215,Concern 215
496,496,496,रखना 214,Keep 214
497,497,497,उससे 214,214 from her
498,498,498,पहली 213,First 213
499,499,499,बनाने 213,Make 213
500,500,500,गोली 212,Pill 212
501,501,501,माध्यम 211,Medium 211
502,502,502,कितना 211,How much 211
503,503,503,सुरक्षित 211,Safe 211
504,504,504,देखना 210,Watch 210
505,505,505,वहां 210,210 there
506,506,506,इससे 210,210 from this
507,507,507,इसका 210,Its 210
508,508,508,मारा 210,Hara 210
509,509,509,पत्नी 210,Wife 210
510,510,510,रहना 209,Stay 209
511,511,511,पार्टी 208,Party 208
512,512,512,अन्य 207,Other 207
513,513,513,अच्छे 207,Good 207
514,514,514,हैलो 206,Hello 206
515,515,515,महान 204,Great 204
516,516,516,आए 204,Came 204
517,517,517,क्षमा 203,Forgiveness 203
518,518,518,पिछले 202,Last 202
519,519,519,मारने 201,Kill 201
520,520,520,रहते 199,Live 199
521,521,521,वादा 198,Promise 198
522,522,522,राजा 197,King 197
523,523,523,इंतजार 197,Wait 197
524,524,524,उनकी 197,His 197
525,525,525,सुबह 197,197 in the morning
526,526,526,सिर 197,Head 197
527,527,527,नए 196,New 196
528,528,528,विचार 196,Thought 196
529,529,529,दोस्तों 196,Friends 196
530,530,530,योजना 196,Plan 196
531,531,531,प्राप्त 195,Received 195
532,532,532,घंटे 195,Hour 195
533,533,533,खुश 193,Happy 193
534,534,534,अंत 193,Final 193
535,535,535,करती 191,Do 191
536,536,536,करेगा 191,Will do 191
537,537,537,थोड़ा 191,Little 191
538,538,538,सम्मान 191,Honor 191
539,539,539,आदेश 188,Order 188
540,540,540,पूरे 188,Complete 188
541,541,541,अलग 187,Separate 187
542,542,542,उम्मीद 187,Expect 187
543,543,543,आर 185,R185
544,544,544,पाने 185,Get 185
545,545,545,औरत 185,Woman 185
546,546,546,इतनी 184,So much 184
547,547,547,लड़के 184,Boys 184
548,548,548,गिर 184,Gir 184
549,549,549,संगीत 184,Music 184
550,550,550,रास्ता 183,Way 183
551,551,551,युद्ध 182,War 182
552,552,552,रास्ते 182,Way 182
553,553,553,हमारा 181,Our 181
554,554,554,जारी 181,Released 181
555,555,555,मन 180,Mind 180
556,556,556,लड़ाई 180,Battle 180
557,557,557,डाला 179,Dala 179
558,558,558,शुक्रिया 179,Thanks 179
559,559,559,मुश्किल 179,Hard 179
560,560,560,आराम 178,Relaxation 178
561,561,561,चुका 176,Recovered 176
562,562,562,प्रिय 174,Dear 174
563,563,563,झूठ 174,Lies 174
564,564,564,बंदूक 174,Gun 174
565,565,565,खुशी 174,Happiness 174
566,566,566,नरक 174,Hell 174
567,567,567,आशा 173,Asha 173
568,568,568,चुप 172,Shut up 172
569,569,569,उपयोग 172,Uses 172
570,570,570,सवाल 171,Question 171
571,571,571,आपने 171,You 171
572,572,572,वैसे 170,By the way 170
573,573,573,देश 170,Country 170
574,574,574,रखो 169,Keep 169
575,575,575,असली 168,Real 168
576,576,576,बड़ी 168,Big 168
577,577,577,जैसा 168,Like 168
578,578,578,सुन 168,Listen 168
579,579,579,हाय 167,Hi 167
580,580,580,चोट 166,Injury 166
581,581,581,रखा 166,Keep 166
582,582,582,मौत 165,Death 165
583,583,583,पापा 165,Papa 165
584,584,584,पर्याप्त 165,Enough 165
585,585,585,पुरुषों 165,Men 165
586,586,586,शांत 164,Cool 164
587,587,587,पुराने 164,Old 164
588,588,588,हंसते 164,Laughing 164
589,589,589,सा 164,Sa 164
590,590,590,दें 163,Give 163
591,591,591,पकड़ 162,Catch 162
592,592,592,बहन 162,Sister 162
593,593,593,सामने 162,162 in front
594,594,594,सुरक्षा 161,Security 161
595,595,595,खाने 160,Eat 160
596,596,596,खाना 160,Food 160
597,597,597,चाचा 159,Uncle 159
598,598,598,बन 158,Become 158
599,599,599,अमेरिका 157,America 157
600,600,600,परेशान 155,Troubled 155
601,601,601,बच्चा 155,Baby 155
602,602,602,सी 155,C155
603,603,603,जवाब 154,Answer 154
604,604,604,सेना 154,Army 154
605,605,605,आसान 154,Easy 154
606,606,606,पैसा 153,Money 153
607,607,607,ऐसे 153,153 such
608,608,608,महीने 153,Month 153
609,609,609,रखने 153,Keep 153
610,610,610,छोटी 152,Small 152
611,611,611,अलविदा 152,Goodbye 152
612,612,612,कदम 152,Step 152
613,613,613,अगले 152,Next 152
614,614,614,भाग 151,Part 151
615,615,615,नमस्ते 151,Hello 151
616,616,616,सारे 151,All 151
617,617,617,लंबे 150,Long 150
618,618,618,देते 149,Giving 149
619,619,619,कॉल 149,Call 149
620,620,620,छोटा 149,Small 149
621,621,621,भाड़ 148,Fuck 148
622,622,622,बनाया 148,Made 148
623,623,623,हमने 148,We have 148
624,624,624,स्थिति 148,Status 148
625,625,625,इस्तेमाल 148,Used 148
626,626,626,परवाह 148,Care 148
627,627,627,कैसा 148,How 148
628,628,628,होती 147,Having 147
629,629,629,गलती 147,Mistake 147
630,630,630,राम 147,Ram 147
631,631,631,नष्ट 147,Destroy 147
632,632,632,स्वागत 147,Welcome 147
633,633,633,अजीब 146,Funny 146
634,634,634,रह 145,Stay 145
635,635,635,व्यक्ति 145,Person 145
636,636,636,मूर्ख 145,Fool 145
637,637,637,तुम्हे 144,You 144
638,638,638,सिकंदर 144,Alexander 144
639,639,639,मै 144,I 144
640,640,640,मालिक 144,Owner 144
641,641,641,गंदगी 143,Dirt 143
642,642,642,रखें 143,Keep 143
643,643,643,नौकरी 142,Job 142
644,644,644,हांक 142,Hank 142
645,645,645,जीत 142,Win 142
646,646,646,कंपनी 142,Company 142
647,647,647,लेंगे 141,Will take 141
648,648,648,चारों 141,All four 141
649,649,649,तस्वीर 139,Photo 139
650,650,650,रहता 139,Live 139
651,651,651,कहानी 138,Story 138
652,652,652,खड़े 138,Standing 138
653,653,653,रोक 138,Stop 138
654,654,654,बातें 138,Things 138
655,655,655,अकेले 138,138 alone
656,656,656,किस 137,Kiss 137
657,657,657,साफ 137,Clear 137
658,658,658,िलए 137,For 137
659,659,659,मौका 137,Chance 137
660,660,660,भरोसा 136,Trust 136
661,661,661,चिल्ला 136,Shout 136
662,662,662,जहाँ 135,Where 135
663,663,663,कसम 135,I swear 135
664,664,664,सारा 135,Sara 135
665,665,665,करीब 134,About 134
666,666,666,जान 134,Jaan 134
667,667,667,तुलना 134,Comparison 134
668,668,668,इतने 133,So many 133
669,669,669,कब 133,When 133
670,670,670,यात्रा 133,Travel 133
671,671,671,हमला 132,Attack 132
672,672,672,रक्षा 132,Defense 132
673,673,673,पाया 132,Found 132
674,674,674,जल्द 132,Soon 132
675,675,675,पति 132,Husband 132
676,676,676,गयी 131,Gone 131
677,677,677,जहाज 131,Ship 131
678,678,678,बेबी 131,Baby 131
679,679,679,हवा 130,Wind 130
680,680,680,आती 130,Come 130
681,681,681,दरवाजा 130,Door 130
682,682,682,जाएगी 130,Will go 130
683,683,683,कहता 130,Say 130
684,684,684,स्कॉट 130,Scott 130
685,685,685,मिलेगा 129,Will get 129
686,686,686,मां 129,Mother 129
687,687,687,वाली 129,Wali 129
688,688,688,वजह 129,Reason 129
689,689,689,महत्वपूर्ण 129,Important 129
690,690,690,जय 129,Jai 129
691,691,691,अकेला 128,128 alone
692,692,692,सामान 128,Stuff 128
693,693,693,सो 127,So 127
694,694,694,रख 127,Keep 127
695,695,695,शामिल 127,Included 127
696,696,696,नया 127,New 127
697,697,697,मिलने 127,Meet 127
698,698,698,निश्चित 126,Fixed 126
699,699,699,करनी 125,Do 125
700,700,700,स्कूल 125,School 125
701,701,701,जेल 125,Jail 125
702,702,702,तरफ 125,Side 125
703,703,703,बड़े 125,Big 125
704,704,704,पल 124,Moment 124
705,705,705,अंतिम 124,Last 124
706,706,706,ब्रायन 124,Brian 124
707,707,707,पैदा 124,Born 124
708,708,708,चार 124,Four 124
709,709,709,कितने 124,How many 124
710,710,710,कहने 123,Say 123
711,711,711,इंदर 123,Inder 123
712,712,712,इंतज़ार 123,Wait 123
713,713,713,जी 123,G123
714,714,714,मातृभाषा 122,Mother tongue 122
715,715,715,अस्पताल 122,Hospital 122
716,716,716,जाँच 122,Check 122
717,717,717,बर्बाद 122,Waste 122
718,718,718,दर्द 122,Pain 122
719,719,719,दिनों 122,Day 122
720,720,720,शॉन 121,Sean 121
721,721,721,पृथ्वी 121,Earth 121
722,722,722,महिलाओं 121,Women 121
723,723,723,पूछ 120,Ask 120
724,724,724,लगभग 120,About 120
725,725,725,नफरत 120,Hate 120
726,726,726,बताने 119,Tell 119
727,727,727,देखें 119,See 119
728,728,728,ट्रेवर 119,Trever 119
729,729,729,सप्ताह 119,Week 119
730,730,730,बेशक 119,Of course 119
731,731,731,डॉक्टर 118,Doctor 118
732,732,732,पांच 118,Five 118
733,733,733,स्पष्ट 117,Clear 117
734,734,734,लगी 117,Lagged 117
735,735,735,इसकी 117,Its 117
736,736,736,तोड़ 117,Break 117
737,737,737,मजाक 116,Jokes 116
738,738,738,पालन 116,Follow 116
739,739,739,यहीं 116,116 here
740,740,740,खाता 116,Account 116
741,741,741,क्षेत्र 116,Area 116
742,742,742,भर 116,Fill 116
743,743,743,मामले 116,Case 116
744,744,744,खबर 116,News 116
745,745,745,ज़रूरत 116,Need 116
746,746,746,सड़क 115,Road 115
747,747,747,हत्या 115,Murder 115
748,748,748,समाप्त 115,Finished 115
749,749,749,प्रकार 115,Type 115
750,750,750,ली 115,Lee 115
751,751,751,संदेश 114,Message 114
752,752,752,क्लिक 114,Click 114
753,753,753,माफ़ 114,Sorry 114
754,754,754,शब्द 114,Word 114
755,755,755,खिलाफ 114,114 against
756,756,756,खून 114,Blood 114
757,757,757,जॉन 114,John 114
758,758,758,लाने 113,Bring 113
759,759,759,शक्ति 113,Shakti 113
760,760,760,जाए 113,Go 113
761,761,761,फ्यूरर 112,Furr 112
762,762,762,भोजन 112,Food 112
763,763,763,आवाज 112,Voice 112
764,764,764,हिस्सा 112,Part 112
